customer_id,age,gender,annual_income,spending_score,purchase_history,review_text,churned,clean_review,sentiment
1197,32,Male,110825,70,Fashion,Highly recommend this product,Yes,highly recommend product,positive
1198,49,Male,21062,88,Groceries,"Product was okay, could be better",No,product okay could better,neutral
1199,49,Female,70448,33,Fashion,Fast delivery and good packaging,No,fast delivery good packaging,positive
1200,41,Male,115462,49,Fashion,Not worth the money,No,worth money,neutral
1201,58,Male,26229,29,Groceries,Fast delivery and good packaging,Yes,fast delivery good packaging,positive
1202,29,Female,76793,63,Sports,Not worth the money,No,worth money,neutral
1203,56,Female,67915,22,Sports,Customer support was unhelpful,No,customer support unhelpful,negative
1204,19,Female,24632,26,Fashion,Not worth the money,No,worth money,neutral
1205,20,Female,23596,28,Groceries,"Terrible service, not happy",No,terrible service happy,neutral
1206,54,Male,26168,85,Groceries,Highly recommend this product,Yes,highly recommend product,positive
1207,34,Male,27561,49,Home Decor,Highly recommend this product,No,highly recommend product,positive
1208,19,Male,93794,71,Sports,"Terrible service, not happy",No,terrible service happy,neutral
1209,19,Female,102152,81,Electronics,"Loved it, will buy again",No,loved buy,positive
1210,45,Female,46734,84,Sports,Customer support was unhelpful,No,customer support unhelpful,negative
1211,40,Female,26371,49,Sports,"Loved it, will buy again",No,loved buy,positive
1212,54,Female,46069,20,Home Decor,"Loved it, will buy again",No,loved buy,positive
1213,49,Male,99905,86,Electronics,Fast delivery and good packaging,Yes,fast delivery good packaging,positive
1214,50,Female,32910,92,Home Decor,Exceeded my expectations,Yes,exceeded expectations,positive
1215,18,Male,93479,63,Electronics,Fast delivery and good packaging,No,fast delivery good packaging,positive
1216,36,Female,97735,61,Fashion,Exceeded my expectations,No,exceeded expectations,positive
1217,19,Male,101264,49,Electronics,"Product was okay, could be better",Yes,product okay could better,neutral
1218,61,Female,43275,71,Home Decor,Not worth the money,Yes,worth money,neutral
1219,43,Male,92274,1,Sports,Exceeded my expectations,Yes,exceeded expectations,positive
1220,49,Male,101449,96,Electronics,"Terrible service, not happy",No,terrible service happy,neutral
1221,23,Male,80004,13,Electronics,Fast delivery and good packaging,Yes,fast delivery good packaging,positive
1222,49,Female,82981,94,Groceries,Customer support was unhelpful,No,customer support unhelpful,negative
1223,21,Female,104659,87,Sports,Not worth the money,Yes,worth money,neutral
1224,28,Male,74553,51,Fashion,"Product was okay, could be better",No,product okay could better,neutral
1225,34,Male,68447,56,Home Decor,Exceeded my expectations,Yes,exceeded expectations,positive
1226,55,Female,54529,83,Fashion,"Product was okay, could be better",No,product okay could better,neutral
1227,41,Male,95703,62,Sports,Customer support was unhelpful,Yes,customer support unhelpful,negative
1228,22,Female,96090,32,Electronics,"Loved it, will buy again",No,loved buy,positive
1229,51,Female,37260,30,Electronics,Highly recommend this product,Yes,highly recommend product,positive
1230,23,Male,23812,29,Sports,Customer support was unhelpful,No,customer support unhelpful,negative
1231,39,Male,48024,49,Electronics,Too expensive for the quality,No,expensive quality,negative
1232,28,Female,78656,45,Electronics,Customer support was unhelpful,No,customer support unhelpful,negative
1233,65,Male,47285,93,Electronics,"Product was okay, could be better",No,product okay could better,neutral
1234,33,Male,112436,30,Home Decor,"Terrible service, not happy",No,terrible service happy,neutral
1235,50,Female,21605,16,Home Decor,Fast delivery and good packaging,No,fast delivery good packaging,positive
1236,26,Female,91158,40,Groceries,"Terrible service, not happy",No,terrible service happy,neutral
1237,23,Female,92303,19,Fashion,"Product was okay, could be better",No,product okay could better,neutral
1238,33,Female,47139,18,Sports,Fast delivery and good packaging,No,fast delivery good packaging,positive
1239,46,Male,97149,1,Sports,Too expensive for the quality,No,expensive quality,negative
1240,20,Male,76138,78,Sports,Highly recommend this product,No,highly recommend product,positive
1241,37,Female,96125,47,Groceries,Not worth the money,No,worth money,neutral
1242,53,Female,33918,66,Home Decor,"Product was okay, could be better",Yes,product okay could better,neutral
1243,36,Male,105655,92,Groceries,Exceeded my expectations,No,exceeded expectations,positive
1244,43,Female,47446,94,Sports,"Product was okay, could be better",No,product okay could better,neutral
1245,20,Male,33046,38,Fashion,"Product was okay, could be better",Yes,product okay could better,neutral
1246,36,Female,44818,51,Electronics,Fast delivery and good packaging,No,fast delivery good packaging,positive
1247,37,Male,24324,63,Home Decor,"Great quality, very satisfied",Yes,great quality satisfied,positive
1248,49,Male,96323,4,Home Decor,Customer support was unhelpful,No,customer support unhelpful,negative
1249,24,Male,29111,1,Groceries,"Great quality, very satisfied",Yes,great quality satisfied,positive
1250,58,Male,58110,8,Home Decor,Too expensive for the quality,No,expensive quality,negative
1251,50,Male,36389,29,Sports,Exceeded my expectations,No,exceeded expectations,positive
1252,57,Female,61427,55,Sports,Highly recommend this product,No,highly recommend product,positive
1253,56,Female,99579,3,Groceries,"Loved it, will buy again",No,loved buy,positive
1254,35,Female,48746,32,Sports,Too expensive for the quality,No,expensive quality,negative
1255,57,Female,107886,10,Fashion,"Loved it, will buy again",No,loved buy,positive
1256,18,Male,20117,74,Groceries,"Loved it, will buy again",Yes,loved buy,positive
1257,28,Male,104471,83,Fashion,Highly recommend this product,No,highly recommend product,positive
1258,45,Female,33234,34,Electronics,"Terrible service, not happy",Yes,terrible service happy,neutral
1259,42,Male,73441,97,Fashion,"Great quality, very satisfied",No,great quality satisfied,positive
1260,40,Female,20846,87,Electronics,"Product was okay, could be better",No,product okay could better,neutral
1261,48,Male,30954,55,Electronics,Not worth the money,No,worth money,neutral
1262,47,Female,99239,92,Fashion,"Loved it, will buy again",No,loved buy,positive
1263,59,Male,66514,32,Groceries,Exceeded my expectations,No,exceeded expectations,positive
1264,52,Female,108236,50,Sports,Too expensive for the quality,No,expensive quality,negative
1265,24,Female,117579,7,Sports,"Terrible service, not happy",Yes,terrible service happy,neutral
1266,33,Female,26469,93,Electronics,"Loved it, will buy again",No,loved buy,positive
1267,43,Male,50105,8,Electronics,"Terrible service, not happy",Yes,terrible service happy,neutral
1268,65,Female,62101,65,Groceries,"Terrible service, not happy",No,terrible service happy,neutral
1269,19,Female,84323,57,Home Decor,"Loved it, will buy again",No,loved buy,positive
1270,18,Female,111922,67,Fashion,Fast delivery and good packaging,No,fast delivery good packaging,positive
1271,65,Female,78067,88,Electronics,Customer support was unhelpful,Yes,customer support unhelpful,negative
1272,29,Female,69376,87,Sports,Exceeded my expectations,No,exceeded expectations,positive
1273,22,Male,65587,59,Groceries,"Product was okay, could be better",Yes,product okay could better,neutral
1274,54,Female,56976,72,Fashion,"Product was okay, could be better",No,product okay could better,neutral
1275,49,Female,87584,54,Groceries,Exceeded my expectations,Yes,exceeded expectations,positive
1276,26,Female,98477,67,Fashion,Fast delivery and good packaging,No,fast delivery good packaging,positive
1277,58,Male,62533,51,Fashion,"Product was okay, could be better",No,product okay could better,neutral
1278,52,Male,21828,97,Electronics,"Terrible service, not happy",No,terrible service happy,neutral
1279,36,Female,21917,92,Groceries,Highly recommend this product,No,highly recommend product,positive
1280,65,Female,40618,8,Groceries,Too expensive for the quality,No,expensive quality,negative
1281,33,Male,52254,34,Sports,"Great quality, very satisfied",No,great quality satisfied,positive
1282,20,Female,67362,35,Sports,"Product was okay, could be better",No,product okay could better,neutral
1283,37,Male,40128,96,Electronics,Exceeded my expectations,No,exceeded expectations,positive
1284,41,Male,79383,88,Electronics,Highly recommend this product,No,highly recommend product,positive
1285,50,Male,85545,78,Home Decor,"Loved it, will buy again",No,loved buy,positive
1286,41,Male,102180,32,Sports,Customer support was unhelpful,No,customer support unhelpful,negative
1287,28,Female,107958,46,Fashion,Exceeded my expectations,Yes,exceeded expectations,positive
1288,25,Male,29865,16,Groceries,"Terrible service, not happy",No,terrible service happy,neutral
1289,53,Female,22219,68,Electronics,Customer support was unhelpful,Yes,customer support unhelpful,negative
1290,55,Female,59809,37,Groceries,Too expensive for the quality,No,expensive quality,negative
1291,57,Female,25287,54,Groceries,Too expensive for the quality,No,expensive quality,negative
1292,37,Female,54387,85,Home Decor,Fast delivery and good packaging,No,fast delivery good packaging,positive
1293,52,Male,28512,14,Sports,Not worth the money,No,worth money,neutral
1294,65,Female,21342,95,Electronics,Fast delivery and good packaging,No,fast delivery good packaging,positive
1295,42,Female,83076,55,Groceries,Highly recommend this product,No,highly recommend product,positive
1296,52,Male,39216,48,Electronics,Customer support was unhelpful,No,customer support unhelpful,negative
1297,42,Female,113070,82,Fashion,Not worth the money,Yes,worth money,neutral
1298,46,Female,99767,7,Home Decor,"Loved it, will buy again",No,loved buy,positive
1299,35,Female,117829,74,Fashion,"Terrible service, not happy",Yes,terrible service happy,neutral
1300,63,Female,46614,7,Electronics,Customer support was unhelpful,No,customer support unhelpful,negative
